Name,InfluenceAmount,RewardType,RewardDataRef,RewardAmount
1,10,Artifact,Regular1,
2,20,Credits,,20
3,30,Artifact,Large1,
4,50,Battleship,Apollo,
5,75,ShipXP,,10
6,100,ZoneUnlock,FireflyStealth,2
7,150,Artifact,Regular2,
8,200,Credits,,50
9,250,Artifact,Large2,
10,300,ZoneUnlock,Titan,3
11,350,Artifact,Regular3,
12,400,Credits,,50
13,450,Artifact,Large3,
14,500,Battleship,Ares,
15,550,ShipXP,,50
16,600,ZoneUnlock,FireflySquad,4
17,650,Artifact,Regular4,
18,700,Credits,,50
19,750,Artifact,Large4,
20,800,ShipXP,,50
21,850,Artifact,Regular4,
22,900,Battleship,Hades,
23,1000,ZoneUnlock,,5
24,1100,Credits,,50
25,1200,Artifact,Large5,
26,1300,Artifact,Regular5,
27,1400,ZoneUnlock,,6
28,1500,Battleship,Kronos,
29,1600,Artifact,Regular6,
30,1700,Artifact,Large6,
31,1800,ZoneUnlock,,7
32,1900,Artifact,Large7,
33,2000,Battleship,Gaia,
34,2250,ZoneUnlock,,8
35,2500,Artifact,Large8,
36,2750,Artifact,Large8,
37,3000,Artifact,Large8,
38,3500,Artifact,Large8,
39,4000,Artifact,Large8,
40,4500,Artifact,Large8,
41,5000,Artifact,Large8,
42,6000,Artifact,Large8,
43,7000,Artifact,Large8,
44,8000,Artifact,Large8,
45,9000,Artifact,Large8,
46,10000,Artifact,Large8,
